geonames_id,wikidata_id
2811936,#
2812070,#
2812092,Q32753471
2812094,#
2812174,Q32753443
2812482,Q32067990
2812581,#
2812584,Q33514354
2812625,Q505147
2812626,Q573599
2812632,#
2812636,Q32753279
2812994,Q49292789
2813182,#
2813216,Q628442
2813262,Q33514301
2813390,Q204860
2813519,#
2813638,Q49292752
2813914,Q32752877
2813927,Q2243967
2814005,Q11119
2814153,Q33513598
2814157,Q49292714
2814297,Q33513507
2814313,Q705011
2814345,#
2814519,#
2814550,#
2814553,Q49292586
2814596,Q49292573
2814637,Q33513348
2814667,Q32752658
2814749,#
2814782,#
2814791,Q32752640
2814840,Q49292539
2814883,Q33513115
2814951,#
2814956,Q33513107
2815052,#
2815075,Q33513084
2815101,Q33513076
2815139,Q49292518
2815180,Q49292511
2815186,Q49292509
2815297,Q503128
2815303,Q49292495
2815320,Q66435995
2815328,Q32752603
2815330,Q32752602
2815487,Q32752598
2815689,Q49292448
2816550,Q881859
2816561,Q38433600
2816616,Q533535
2816702,Q504787
2816713,#
2817088,Q1805307
2817105,Q2529697
2817146,Q49292337
2817149,Q49292335
2817207,Q508107
2817217,Q621483
2817324,Q16055
2817624,#
2817627,Q49292281
2817659,Q49292278
2817684,#
2817733,Q49292269
2817812,Q49278389
2817894,Q49292237
2817909,Q33511252
2818097,Q622565
2818152,Q49292020
2818410,#
2820058,Q1666816
2820101,Q33510591
2820150,Q49292059
2820256,Q3012
2820498,Q49292006
2820499,Q49292004
2820577,Q33730295
2820716,Q33508964
2820860,Q32751737
2820982,#
2821062,Q1774330
2821164,Q3138
2821324,#
2821395,Q33507419
2821408,Q49291776
2821437,Q259898
2821495,#
2821623,#
2821643,#
2821690,Q33507259
2821807,Q12062
2821892,#
2821905,#
2821975,Q32751360
2822599,Q33506413
2823245,Q502604
2823533,Q32750763
2823603,Q49291407
2823799,Q569664
2823854,Q61977929
2824285,Q32750458
2824655,Q33499550
2824730,Q49290905
2824806,Q120805156
2824841,#
2825297,Q32749678
2825629,Q19912720
2825809,#
2826099,Q49278248
2826304,Q33496679
2826595,Q4068
2826670,Q504297
2826740,#
2826909,Q32749424
2827060,#
2827197,Q525796
2827409,#
2827610,Q33495673
2827983,Q49290665
2827987,#
2828140,Q49290658
2828241,Q49290648
2828685,Q522045
2828737,Q622573
2828788,Q32748992
2829240,#
2829480,Q49290592
2829701,Q31898065
2829751,Q120805008
2829758,Q33492576
2829759,Q33492563
2829765,Q32747968
2829802,#
2830057,#
2830080,Q49290540
2830449,Q49290526
2830582,Q49278241
2830849,Q33491841
2830868,#
2830898,Q314754
2830959,Q49291035
2831083,Q549971
2831276,Q32744154
2831366,Q49290409
2831379,#
2831403,Q32750241
2831461,#
2831708,#
2831727,#
2831736,#
2831872,Q32741874
2831933,Q59168728
2832001,#
2832003,Q32741559
2832013,Q49278220
2832144,Q49290215
2832232,Q32741131
2832495,Q3167
2832506,Q49290129
2832521,Q49278207
2832529,Q49290128
2832762,#
2832855,#
2832867,Q32738981
2832870,#
2832921,Q33483816
2832957,#
2833242,Q516529
2833462,#
2833680,#
2834146,Q32293442
2834293,Q32293106
2834310,#
2834492,#
2834498,Q4126
2834978,Q32291764
2835057,#
2835245,#
2835297,Q32290942
2835345,Q516599
2835381,Q32290754
2835472,#
2835482,Q32730725
2835512,Q32290518
2836082,Q1567134
2836306,Q32289549
2836455,Q32289314
2836460,Q49289363
2836471,#
2836559,#
2836957,#
2837470,Q32288744
2837572,Q32288555
2837920,#
2838201,Q569671
2838250,Q49289291
2838315,Q828314
2838459,Q552477
2838469,#
2838600,Q504914
2838673,Q32285667
2838952,#
2839186,#
2839380,Q478142
2839613,Q238951
2839618,#
2839683,Q100776176
2840083,Q29561603
2840529,Q32282081
2841130,#
2841166,#
2841183,#
2841416,#
2841611,Q32278296
2841673,Q32278207
2841899,#
2842131,Q32276246
2842516,Q151535
2842556,Q1749852
2842632,Q14912
2842644,Q32273615
2842647,Q32722322
2842688,Q32273521
2842706,#
2842816,Q33477350
2842824,Q32270097
2842842,#
2842854,Q32270037
2842970,#
2842981,Q32269656
2843238,#
2843385,#
2843395,Q628118
2843404,Q32722026
2843516,#
2843521,Q22556
2843636,Q82960
2843724,Q32266996
2843731,Q32266967
2844013,#
2844042,Q628163
2844056,Q117728366
2844072,Q32266498
2844089,Q634743
2844150,#
2844265,Q32266223
2844756,Q49288824
2844839,#
2845131,Q32263882
2845160,Q621237
2845391,#
2845412,#
2845433,Q49288954
2845455,#
2846092,Q314187
2846229,Q33475915
2846235,Q617180
2846308,Q32260182
2846523,Q32259037
2846528,Q19963160
2846979,Q120851315
2847080,Q32257655
2847547,Q32256341
2847556,Q1553204
2847588,Q32255512
2847595,Q32255488
2847605,#
2847645,Q3890
2847658,Q49288758
2847662,Q16086
2847666,Q12547
2847690,Q6896
2847736,Q32254777
2847959,#
2848143,Q32253582
2848187,Q32253481
2848236,#
2848309,Q532058
2848665,Q32252657
2848757,Q32252502
2848797,Q20180098
2848851,Q32252359
2848872,Q32252307
2848929,#
2849209,Q32251638
2849483,Q2978
2849647,Q3050
2849674,Q117813802
2849710,Q32248787
2849802,Q32248231
2850038,#
2850058,Q622505
2850132,Q490025
2850153,Q32247518
2850174,Q3791
2850257,Q32247155
2850293,Q624495
2850430,#
2850523,Q32246199
2850740,Q32245503
2850981,#
2851584,Q544908
2851606,#
2851826,Q33473896
2851863,Q32237006
2851906,#
2852209,Q1414674
2852440,Q32233952
2852800,#
2853209,Q5542
2853456,#
2853471,Q32226902
2853572,Q32226535
2853779,Q32224658
2853900,Q32223549
2853907,Q32223510
2853969,Q32223234
2854004,#
2854153,#
2854167,Q32222925
2854262,#
2854322,#
2854405,#
2855047,Q32219863
2855243,Q32218006
2855525,Q32215530
2855582,#
2855632,Q32214993
2855745,Q2971
2855759,Q602330
2856000,Q32211566
2856211,#
2856278,Q32210851
2856284,Q120864892
2856637,Q32210066
2856883,Q33158934
2857067,#
2857167,Q32208173
2857289,Q49287663
2857306,Q10898
2857592,#
2857632,#
2857772,#
2857798,Q32205491
2857807,Q32205427
2858124,#
2858226,#
2858239,Q32204335
2858253,Q32204269
2858333,Q504849
2858492,Q2011520
2858556,#
2858562,Q32203443
2858663,#
2858738,Q7044
2858783,#
2858964,Q32202694
2859032,#
2859101,#
2859199,Q32198836
2859245,#
2859270,#
2859470,#
2859481,Q32198793
2859547,Q550682
2859615,Q32201657
2859675,#
2859692,#
2859739,Q633608
2859783,#
2859785,#
2859800,Q32201468
2859938,Q32201333
2860116,#
2860131,#
2860335,Q32198715
2860372,Q32200768
2860616,#
2860694,Q49287574
2860718,#
2860845,#
2861217,#
2861218,#
2861219,#
2861274,#
2861374,Q32198984
2861628,Q117677
2861631,Q32196689
2861632,Q14853
2861650,Q116874675
2861675,#
2861814,Q32194568
2861817,Q32674779
2861866,Q32193058
2861914,Q489902
2861969,Q120865925
2862440,Q32190196
2862485,Q32190122
2862507,Q1524435
2862696,Q32189353
2862700,#
2862726,#
2862739,#
2862762,#
2862791,Q316073
2862831,Q32188807
2862873,Q870852
2862916,#
2863012,Q32188389
2863014,Q32186994
2863046,Q32188304
2863088,Q32188245
2863106,#
2863113,#
2863193,Q1987956
2863210,#
2863213,Q32188020
2863240,Q1648323
2863321,#
2863322,#
2863341,Q32187840
2863383,Q1987833
2863408,#
2863456,Q314199
2863555,Q32187277
2863560,#
2863578,#
2863605,#
2863608,#
2863672,Q32187082
2863732,Q32186495
2863952,#
2864054,Q4149
2864088,Q665582
2864091,Q33466216
2864118,Q2948
2864420,Q32183754
2864549,Q32183294
2865086,Q32181580
2865089,#
2865123,Q49287381
2865709,#
2865792,#
2866022,Q32179325
2866070,Q125652
2866074,Q32179152
2866264,Q32178749
2866374,#
2866418,#
2866419,#
2866420,#
2866421,#
2866549,#
2866612,Q1799915
2866650,Q26696033
2866759,Q1973855
2866851,Q32175001
2866906,Q32174717
2866917,#
2866990,Q33465796
2867164,Q32172326
2867180,#
2867229,Q32172083
2867492,Q570892
2867510,#
2867511,Q49287124
2867514,Q33465368
2867543,Q33158887
2867571,Q571922
2867714,Q32664319
2867985,Q639902
2867996,Q32664001
2868506,Q49277933
2868531,Q32663340
2869120,Q32147729
2869159,Q49287069
2869168,Q646919
2869221,Q629101
2869306,Q32142962
2869732,Q32141259
2869746,Q32140521
2869756,Q200783
2869908,Q33464939
2869934,Q49287036
2869938,#
2869940,Q317819
2869964,Q32139823
2869968,#
2870317,#
2870318,Q32138683
2870536,Q1940435
2870690,#
2871018,#
2871039,Q3846
2871079,Q118383213
2871353,Q32133779
2871361,Q6836676
2871460,Q32133242
2871573,Q32132945
2871593,Q659060
2871609,Q11114871
2871649,#
2871668,Q32132432
2871701,#
2871713,Q32132126
2871718,Q32132093
2871761,#
2871762,Q32131808
2871778,#
2871794,Q16320348
2871807,Q32131697
2871813,Q32131661
2871953,Q32130856
2871964,Q32130819
2871968,#
2871983,Q32130688
2871992,Q14825
2872028,Q552495
2872047,Q120755444
2872111,#
2872173,Q32129371
2872225,#
2872347,Q317697
2872486,Q32128461
2872546,#
2872551,#
2872557,Q32127974
2872563,#
2872614,#
2872649,Q32126362
2872828,#
2872840,#
2872954,#
2873049,Q32124952
2873079,#
2873106,#
2873146,#
2873172,#
2873195,#
2873211,Q5645
2873261,#
2873283,Q502965
2873289,Q32123436
2873296,Q32123376
2873301,Q16854612
2873501,#
2873597,#
2873622,#
2873739,#
2873759,Q32121710
2873776,Q32121667
2873891,Q2119
2873970,#
2873989,Q32120352
2874047,Q83051
2874225,#
2874254,Q504861
2874282,Q32116754
2874545,#
2874695,Q635901
2874728,Q32112582
2874747,Q33459069
2874842,Q32112498
2875374,#
2875375,#
2875423,#
2875592,#
2875738,Q520440
2875810,#
2875868,Q49286302
2875877,Q524939
2875906,Q625783
2875907,#
2876118,#
2876147,Q120755418
2876191,#
2876870,Q32098500
2876952,Q32098196
2877088,#
2877233,#
2877264,Q1826104
2877550,Q153969
2877648,Q16026
2878074,Q32094997
2878137,#
2878431,#
2878760,Q32093270
2878810,#
2878825,Q1817663
2878831,#
2878943,Q32092720
2878959,Q873555
2879139,Q2079
2879193,Q580115
2879498,Q32091573
2879779,Q760488
2879782,Q1811312
2879837,#
2879884,#
2879895,Q32089878
2879929,Q622569
2880078,#
2880111,Q32089411
2880121,Q32089386
2880146,Q32089328
2880197,Q100410981
2880205,#
2880231,#
2880270,Q1885700
2880956,Q6485925
2881094,Q32086402
2881149,#
2881227,#
2881259,Q32086261
2881477,Q32085475
2881485,Q3974
2881488,#
2881646,Q7052
2881881,#
2881885,Q32079460
2881889,Q32079405
2881980,Q32072670
2882375,Q32068821
2882399,Q32068774
2882417,Q505242
2882575,Q32596687
2882597,Q49285275
2883754,Q569634
2883784,Q494537
2883920,Q32068193
2884141,Q32068108
2884610,#
2884625,Q32067805
2884748,#
2885273,Q478710
2885438,Q154048
2885679,Q32066622
2885760,Q569661
2885829,Q118131635
2885850,Q32595778
2885991,Q32595478
2886242,Q365
2886946,Q3104
2887374,#
2887385,Q32066204
2887585,Q328923
2887718,Q49285046
2887736,Q502934
2887987,Q32065587
2888053,Q504686
2888099,#
2888281,#
2888314,#
2888323,Q32065980
2888411,Q32065977
2888520,Q32065966
2889463,#
2890158,Q117771516
2890199,Q32578373
2890222,Q570077
2890239,#
2890278,Q32065372
2890314,Q32065357
2890326,#
2890327,Q32065336
2890329,Q32065332
2890350,#
2890442,Q1743314
2890483,Q1743286
2890513,Q32065234
2890586,Q32065203
2890660,Q32065156
2890777,#
2890874,Q32065014
2891122,Q1707
2891205,Q627351
2891379,#
2891408,#
2891525,Q654316
2891621,#
2891640,Q32064603
2891832,Q639667
2891846,Q32064530
2891968,Q32064474
2892080,Q14805
2892101,Q32064171
2892197,#
2892488,Q567545
2892518,Q32067925
2892571,Q32063992
2892786,Q507854
2892794,Q1040
2892988,Q546100
2893054,Q32063901
2893195,#
2893244,Q32063873
2893307,Q32063859
2893585,#
2893723,Q32063749
2893738,#
2893926,#
2893942,#
2893993,Q678456
2894003,Q32063664
2894245,Q32063583
2894390,Q660188
2894553,Q16045
2894579,#
2894791,Q1698901
2895044,Q32063050
2895638,Q32559191
2895908,Q32062470
2895992,Q49277614
2896015,#
2896020,Q32062387
2896210,Q19980345
2896230,#
2896261,Q506278
2896599,Q32061541
2896607,#
2896736,Q525659
2896753,Q32061466
2896768,Q559841
2897436,Q569692
2897557,Q32060765
2897568,Q61976628
2897791,#
2898316,Q32060652
2898321,Q16107
2898605,#
2898906,#
2899073,#
2899093,Q32060332
2899191,Q49284498
2899192,Q1644233
2899445,#
2899541,#
2899767,Q32060153
2900066,Q665402
2900287,#
2900370,#
2900375,Q32060070
2900453,Q503048
2900496,Q15115110
2900825,Q50899
2901619,#
2901756,Q32059811
2901906,Q170405
2902410,Q28111447
2902519,#
2902531,Q32059538
2902533,Q14896
2902584,Q707011
2902895,#
2903012,Q505909
2903014,Q458205
2903019,Q132499
2903020,#
2903021,#
2903022,Q30724202
2903175,Q632750
2903176,#
2903284,#
2903507,#
2903545,#
2903625,Q32058875
2904625,Q32058533
2904691,Q570035
2904789,Q32058340
2904791,Q636117
2904974,Q32057998
2904992,Q569659
2905151,#
2905214,Q15114780
2905226,Q629699
2905251,Q32057765
2905275,Q478049
2905277,#
2905290,Q24841365
2905457,Q32057602
2905496,Q32057569
2905527,Q32057518
2905598,#
2905601,Q32057441
2905626,#
2906069,#
2906121,Q3971
2906142,#
2906175,Q565528
2906199,Q18998
2906205,Q32056901
2906229,#
2906268,Q524407
2906269,Q869732
2906274,Q33093364
2906323,Q702856
2906514,Q32056575
2906548,#
2906676,Q32056406
2906693,Q32056392
2906957,Q32056172
2907006,#
2907008,Q1601704
2907068,Q32056063
2907086,#
2907181,Q32056010
2907211,Q32055977
2907369,Q1595784
2907459,Q32055810
2907545,Q32055572
2907755,#
2907789,#
2907857,#
2907911,Q2966
2908032,#
2908149,Q32055160
2908322,#
2908478,#
2908495,Q32054927
2908863,Q32054283
2908886,Q525809
2909204,Q49283973
2909230,Q32054087
2909240,Q569626
2909258,Q1589004
2909335,Q492659
2909429,#
2909587,Q32053709
2909696,#
2910181,Q32053279
2910483,Q314895
2910514,Q32052824
2910633,Q539852
2910685,Q1635
2910831,Q32052205
2910881,Q32052104
2910902,#
2911007,Q3802
2911073,Q32051816
2911214,Q32051731
2911240,Q32051612
2911271,Q32051531
2911298,Q1055
2911306,Q32051492
2911384,Q5567
2911419,Q32051338
2911482,Q1571700
2911514,Q32051147
2911522,Q445500
2911665,Q7072
2911760,#
2911764,#
2911789,Q18020644
2911818,Q1376485
2911831,Q32050811
2911856,#
2912829,Q565530
2912863,Q32049980
2912921,Q32049918
2912961,#
2913555,Q32518590
2913598,Q32048753
2913675,Q32048654
2913890,Q558498
2913922,Q32047892
2914101,Q33441736
2914105,Q32514607
2914432,Q33441642
2914801,Q622589
2914842,#
2914868,#
2914890,Q31622
2914923,Q49283587
2914929,Q516474
2915196,Q33441262
2915255,Q49283563
2915349,Q33441198
2915372,Q49283556
2915511,Q33441102
2915613,Q251689
2916325,Q30661768
2916643,Q32510453
2916671,#
2917002,Q49283511
2917032,Q594576
2917075,#
2917526,Q882426
2917579,Q33439978
2917737,Q32041969
2918268,#
2918271,Q33441483
2918338,Q49283607
2918518,Q1559963
2918632,Q32518229
2918695,Q20184171
2918752,Q32038418
2919095,Q961164
2919119,Q32036595
2919438,Q516238
2919610,Q49283831
2919625,Q32035325
2919995,#
2920041,Q32033414
2920085,Q637032
2920124,Q1529570
2920197,Q49283359
2920273,Q26271280
2920332,Q1525143
2920378,#
2920512,Q3874
2920591,#
2920645,Q32031338
2920652,Q32031321
2920834,Q32030588
2920837,Q32030569
2920958,Q472141
2920959,Q519134
2920994,Q625091
2920997,Q32030131
2920999,#
2921034,Q32030076
2921035,#
2921082,Q23197530
2921179,Q32029746
2921261,Q32029496
2921379,Q505332
2921383,#
2921466,#
2921528,Q16024
2921642,Q32028209
2921664,Q32028175
2921707,Q558516
2921816,Q33438072
2921819,#
2921837,Q205050
2921996,Q32027482
2922008,Q32027462
2922136,Q32026920
2922245,Q32026410
2922260,#
2922283,#
2922305,Q32026387
2922309,Q32026379
2922596,Q224504
2922604,Q32023552
2922781,Q1493006
2922782,#
2922783,#
2923428,Q32021176
2923499,#
2923544,Q3075
2923589,#
2923640,Q262644
2923822,Q3963
2924326,Q492503
2924606,Q1464220
2924775,Q32018224
2924802,Q516485
2924827,#
2924836,Q32018091
2924916,#
2924936,Q32017957
2925047,Q32017602
2925079,Q32017410
2925177,Q2833
2925192,Q32017434
2925240,Q798686
2925307,Q478097
2925533,Q1794
2925535,Q4024
2925550,Q6905
2925629,Q573603
2925665,Q32016026
2925848,Q49283048
2925910,Q32010194
2926120,Q622593
2926135,Q553680
2926180,#
2926256,Q1428062
2926337,Q1427624
2926386,#
2926402,Q118558808
2926548,#
2926564,Q532046
2926626,Q1419781
2926628,#
2926666,#
2927359,#
2927647,Q18020123
2927916,#
2928340,Q317432
2928615,Q31999949
2928625,#
2928659,Q31999934
2928679,Q1371747
2928751,Q31999807
2928810,Q2066
2928841,#
2928911,Q31999418
2928963,#
2928967,Q1468
2929000,#
2929224,Q31998864
2929318,#
2929350,Q567608
2929484,Q118557733
2929567,Q117751880
2929622,Q7025
2929666,#
2929670,Q31997476
2929671,#
2929681,Q51735998
2929715,Q31997337
2929737,#
2929801,Q1348194
2929817,Q45347
2929837,Q31996966
2930006,Q31996552
2930007,#
2930053,Q31996177
2930166,Q162681
2930448,#
2930506,#
2930509,Q31995210
2930602,Q31994891
2930628,Q31994777
2930630,Q31994759
2930635,#
2930646,Q275193
2930705,#
2930747,Q31994337
2930889,Q31993930
2930934,Q117751597
2930950,#
2931172,#
2931225,Q503169
2931372,Q259444
2931433,Q31987874
2931448,#
2931566,#
2931569,Q31987634
2931574,Q31987608
2931753,Q31987426
2931871,Q31987228
2931925,Q1302820
2932069,#
2932329,Q49282848
2932727,Q452493
2932843,#
2932924,Q32475796
2933298,#
2933367,Q31983185
2933410,Q31983117
2933484,#
2933895,#
2933907,#
2933984,Q117836283
2934058,#
2934246,Q1718
2934486,Q1884
2934691,Q31976906
2934728,Q31976703
2934736,#
2934884,#
2934886,Q31975774
2935022,Q1731
2935350,Q883326
2935453,Q31971934
2935530,Q31971823
2935751,Q20850576
2935785,#
2935791,#
2935821,#
2936040,Q31971324
2936253,Q49277407
2936707,Q18333288
2936822,Q31955031
2936886,Q491743
2936933,Q33433312
2936974,Q31954161
2937018,Q31953930
2937092,Q1223281
2937110,Q31953806
2937124,Q31953788
2937126,#
2937164,Q31953732
2937532,#
2937553,Q31953306
2937558,Q1220244
2937559,#
2937574,#
2937591,Q525493
2937899,#
2937932,Q504639
2937959,Q487070
2937964,#
2938065,Q31951124
2938196,#
2938201,Q1189829
2938203,#
2938301,Q31949832
2938351,Q31949649
2938376,Q31949594
2938432,#
2938465,#
2938714,Q31945373
2938913,Q32067893
2939191,#
2939338,Q30804875
2939405,Q31943244
2939434,Q31943223
2939505,Q31943099
2939655,#
2939797,Q31940717
2939892,Q561890
2939945,Q31934904
2939949,Q31934490
2939951,Q14821
2940213,Q31929716
2940381,Q558512
2940412,Q622111
2940420,#
2940512,Q569680
2940518,Q33427331
2940529,Q31926282
2940532,#
2940534,Q33427924
2940938,Q524974
2941028,Q93216
2941058,#
2941151,Q33427886
2941159,Q31925834
2941207,Q31925796
2941245,#
2941400,#
2941570,Q33427844
2942073,Q382481
2942079,#
2942087,Q31924584
2942270,#
2942416,#
2942446,Q31924190
2942634,Q31924019
2942938,Q31923680
2943560,Q104586329
2943626,#
2943753,#
2944079,Q31921832
2944142,Q31921690
2944143,Q31921683
2944180,#
2944299,#
2944318,#
2944516,Q31921108
2944580,#
2944622,Q66709881
2944632,#
2944649,#
2944657,Q31920994
2944800,Q31920861
2944834,Q31920839
2945024,Q32067886
2945358,Q32067884
2945542,Q31919909
2945611,#
2945756,#
2945764,#
2945909,Q1020086
2946111,Q31918506
2946366,Q31918149
2946447,Q31917795
2946515,Q891989
2946575,#
2947070,#
2947076,Q19276267
2947106,#
2947114,#
2947133,Q31917057
2947175,Q316969
2947355,Q22531
2947416,Q31916839
2947465,Q31916736
2947468,Q888730
2947739,Q523709
2947822,#
2948056,Q49281465
2948058,Q31915880
2948305,Q866142
2948307,Q31914484
2948314,#
2948331,#
2948337,Q17122482
2948404,#
2948415,#
2948595,Q31914164
2948825,Q31913573
2948884,#
2948895,Q31913390
2949082,Q518633
2949094,Q220215
2949130,Q49281439
2949186,Q31912389
2949216,Q31912356
2949270,#
2949277,Q31912298
2949367,Q375875
2949391,#
2949470,Q504022
2949561,#
2949602,#
2949935,Q73190
2949957,#
2949998,Q31911076
2950012,#
2950070,#
2950139,Q31910872
2950159,Q64
2950161,#
2950219,Q820673
2950249,Q31910676
2950287,Q31910652
2950978,Q14872
2950994,Q459769
2951104,Q31909842
2951108,Q2228554
2951265,#
2951327,Q31908868
2951345,Q652238
2951648,Q245292
2951654,#
2951797,#
2951825,Q117804450
2952160,Q811222
2952261,Q31906254
2952984,Q3936
2953066,Q105012923
2953108,Q31901270
2953217,Q31899666
2953315,Q31898282
2953321,Q16082
2953338,Q558600
2953339,Q39785
2953348,Q522541
2953360,Q798764
2953363,Q32386027
2953384,Q31897721
2953389,Q14664774
2953402,Q31897574
2953405,Q183307
2953413,Q31897438
2953416,Q31897342
2953419,Q379121
2953424,Q118137589
2953435,Q12434
2953439,Q16145
2953456,Q31897121
2953459,Q31897081
2953504,Q4100
2953522,Q49277227
2953535,Q118130277
2953536,Q31896858
2953542,Q31896788
2953702,Q31896245
2953770,Q31896073
2953822,#
2954024,Q505352
2954060,Q771899
2954172,#
2954272,#
2954539,Q552165
2954542,#
2954602,Q31887013
2954704,Q31886834
2954774,Q278783
2954775,Q31886610
2954932,Q10887
2954976,#
2955001,Q317535
2955050,Q49281029
2955053,Q31885898
2955272,Q3942
2955363,Q31885030
2955421,Q498078
2955431,Q31884309
2955439,Q31884282
2955471,Q31884219
2955605,Q31883266
2955610,Q31883247
2955633,Q31883188
2955638,#
2955805,#
2955839,#
2955861,#
2955936,Q14859
2956206,Q31880667
2956404,Q373902
2956567,Q118120680
2956656,Q7042
2956710,Q31879237
2956715,Q31879228
2957040,Q31878309
2957140,Q440724
2957141,#
2957417,#
2957459,Q31877723
2957834,Q31877303
2957869,Q31877273
2958126,Q31876470
2958188,Q31876183
2958438,Q31875560
2958533,Q31874866
2958580,Q199968
2958595,Q31874147
2958745,#
2958762,#
2958774,Q2636318
2958775,Q31873497
2958844,Q106763099
2959113,Q402651
2959223,Q1132
2959279,Q14888
2959782,#
2959847,#
2959927,Q3951
2959977,Q16765057
2959989,Q377847
2960013,Q1017407
2960021,Q836082
2960154,Q734284
2960160,Q687100
2960316,Q1842
2960515,Q4132923
2960589,Q20969351
2960613,Q3051810
2960616,Q20969339
2960630,Q204317
2960657,Q29057521
2960699,Q2804045
2960759,Q866692
2960806,Q20969251
2964574,Q1761
2967265,Q1413928
2967344,Q21349
2967373,#
2967956,#
2969364,Q22351
2969736,#
2969958,Q154748
2970222,#
2970662,#
2970861,Q1060595
2971280,#
2972214,Q213155
2972350,Q154728
2972811,Q22640
2973013,#
2973783,Q6602
2974604,#
2975233,Q22737
2975518,#
2975964,Q22642
2975967,Q22544
2976352,#
2980438,Q500400
2980827,Q34427
2981815,Q149080
2982636,Q149087
2982652,Q30974
2982790,Q22990
2983005,Q21981
2983158,Q21939
2983276,Q207587
2983355,#
2984114,Q41876
2984516,Q471685
2984559,Q22018
2986306,Q461413
2987105,#
2987271,Q253939
2988507,#
2989085,#
2989317,Q6548
2989802,#
2990410,Q21369
2990969,Q12191
2990999,Q40898
2992885,#
2993468,#
