index,factoid_ID,pers_ID,pers_name,alternative_names,event_type,event_after-date,event_before-date,event_start,event_end,event_date,pers_title,pers_function,place_name,inst_name,rel_pers,source_quotations,additional_info,comment,info_dump,source
478,5308,OCR,Aloysius Brockard,NaN,Funktionsausübung,1748 # 1757,1751 # 1759,NaN,NaN,NaN,NaN,Student,Bamberg,"Universität Bamberg, Theologische Fakultät",NaN,NaN,von 1748-1751 war er Student der Theologie zu Bamberg und 1757-1759 Professor der Philosophie in Bamberg,NaN,NaN," Cat. Jes.1749, S.17 Nr.22; 
 Krafft, Jesuiten, S.329; 
 Weber, S. 231, 642 f., 679; 
 Matr. Würzburg, Nr.16866; 
 De Back.-Som. II, Sp. 195) 
"
479,5306,OCR,Aloysius Brockard,NaN,Funktionsausübung,NaN,NaN,1745 # 1746,1745 # 1746,NaN,mag.,Lehrer,Mainz,Universität Mainz],NaN,NaN,"Magister und Professor, 1745 lehrte er Humaniora und 1746 Rhetorik in Mainz",NaN,NaN," Cat. Jes.1749, S.17 Nr.22; 
 Krafft, Jesuiten, S.329; 
 Weber, S. 231, 642 f., 679; 
 Matr. Würzburg, Nr.16866; 
 De Back.-Som. II, Sp. 195) 
"
480,5306,OCR,Aloysius Brockard,NaN,Funktionsausübung,NaN,NaN,1745 # 1746,1745 # 1746,NaN,mag.,Professor,Mainz,Universität Mainz],NaN,NaN,"Magister und Professor, 1745 lehrte er Humaniora und 1746 Rhetorik in Mainz",NaN,NaN," Cat. Jes.1749, S.17 Nr.22; 
 Krafft, Jesuiten, S.329; 
 Weber, S. 231, 642 f., 679; 
 Matr. Würzburg, Nr.16866; 
 De Back.-Som. II, Sp. 195) 
"
502,3751,OCR,Amandus Schell,NaN,Funktionsausübung,1705,1707,1707-11-11 # 1710,1707-11-11 # 1710,NaN,NaN,Professor,Erfurt,Universität Erfurt,NaN,NaN,"vom September 1705-1707 war er Professor der Philosophie zu Erfurt, vom 11.11.1707-Sommer 1710 Professor der Theologie",NaN,NaN," Rupprecht, S.250-256 u. 454) 
"
508,5700,OCR,Ambrosius Egel,"Egell, Engel, auch mit den Vornamen Franz und Ignaz",Funktionsausübung,1771 # 3.11.1773,1797,1770-11-11,1770-11-11,NaN,NaN,Lehrer,Würzburg,NaN,NaN,NaN,"am 11.11.1770 in der Würzburger Matrikel erwähnt, lehrte von 1771-1797 die Experimentalphysik in Würzburg sowie Mathematik und wurde dort am 3.11.1773 zum Professor ernannt",NaN,NaN," Praetorius, Professoren, S.138; 
 Cat. Jes. 1749, S.87 Nr.52; 
 Matr. Heidelberg IV, S. 132 u. 472; 
 Matr. Würzburg, Nr.20601; 
 Prot, phil. Fak., S.16; 
 Krafft, Jesuiten, S.331 hier: Engel; 
 Reindl, S.99 Nr.3; 
 Wegele I, S.509; 
 RPh 276r; 
 Logermann, S.116 f.; 
 De Back.-Som. III, Sp.340 f.) 
"
509,5700,OCR,Ambrosius Egel,"Egell, Engel, auch mit den Vornamen Franz und Ignaz",Funktionsausübung,1771 # 3.11.1773,1797,1770-11-11,1770-11-11,NaN,NaN,Mitglied,Würzburg,NaN,NaN,NaN,"am 11.11.1770 in der Würzburger Matrikel erwähnt, lehrte von 1771-1797 die Experimentalphysik in Würzburg sowie Mathematik und wurde dort am 3.11.1773 zum Professor ernannt",NaN,NaN," Praetorius, Professoren, S.138; 
 Cat. Jes. 1749, S.87 Nr.52; 
 Matr. Heidelberg IV, S. 132 u. 472; 
 Matr. Würzburg, Nr.20601; 
 Prot, phil. Fak., S.16; 
 Krafft, Jesuiten, S.331 hier: Engel; 
 Reindl, S.99 Nr.3; 
 Wegele I, S.509; 
 RPh 276r; 
 Logermann, S.116 f.; 
 De Back.-Som. III, Sp.340 f.) 
"
510,5700,OCR,Ambrosius Egel,"Egell, Engel, auch mit den Vornamen Franz und Ignaz",Funktionsausübung,1771 # 3.11.1773,1797,1770-11-11,1770-11-11,NaN,NaN,Professor,Würzburg,NaN,NaN,NaN,"am 11.11.1770 in der Würzburger Matrikel erwähnt, lehrte von 1771-1797 die Experimentalphysik in Würzburg sowie Mathematik und wurde dort am 3.11.1773 zum Professor ernannt",NaN,NaN," Praetorius, Professoren, S.138; 
 Cat. Jes. 1749, S.87 Nr.52; 
 Matr. Heidelberg IV, S. 132 u. 472; 
 Matr. Würzburg, Nr.20601; 
 Prot, phil. Fak., S.16; 
 Krafft, Jesuiten, S.331 hier: Engel; 
 Reindl, S.99 Nr.3; 
 Wegele I, S.509; 
 RPh 276r; 
 Logermann, S.116 f.; 
 De Back.-Som. III, Sp.340 f.) 
"
527,1219,OCR,Ambrosius Höglein,Hoegelin,Studium,NaN,NaN,1706 # 1707,1706 # 1707,NaN,"bacc., phil./mag., phil.",Student,Mainz,Universität Mainz],NaN,NaN,"Studium in Mainz, 1706 bacc. phil., 1707 mag. phil.",NaN,NaN," Praetorius, Professoren, S.95; 
 RPh 50r, 53v, 107v; 
 RTh 29v; 
 Cat. Jes.1726, S.86 Nr. 11; 
 Matr. Würzburg, Nr.11934; 
 Wegele, S. 426; 
 Aula hon., S.ll; 
 Brück, Theol. Fak., S. 157; 
 Uhlenbrock, S.133; 
 Krafft, Jesuiten, S. 336) 
"
531,6285,OCR,Ambrosius Jordan,NaN,Funktionsausübung,NaN,NaN,1632-12-29 # 1655,1632-12-29 # 1655,NaN,NaN,Kantor,NaN,NaN,NaN,NaN,"vom 29.12.1632 bis 1655 war er Vikar an St. Viktor, auch can. an St. Moritz, can. und Kantor von St. Stephan und Pfr. von St. Emmeran",NaN,NaN," Hansel, Anh., S.89; 
 Senatsprot.I 82v) 
"
546,2059,OCR,Ambrosius Seibaeus,NaN,Funktionsausübung,NaN,NaN,1604 # 1606,1604 # 1606,NaN,NaN,Pfarrer,Oberursel,NaN,NaN,NaN,vom Dezember 1604 bis Februar 1606 war er Pfarrer in Oberursel,NaN,NaN," Praetorius, Professoren, S.94; 
 Nom. rev., S. 3; 
 Aula hon., S.3 f.; 
 Severus PM, S. 9; 
 Heim, S.25; 
 Reg. Univ. Mog., S.5 ff.; 
 Verzeichnis theol. Fak., S.8; 
 Hansel, Anh. S.156; 
 Dürr, S.51 und 54; 
 August Korf, Oberursel, Oberursel 1907, S.103 f.) 
"
547,2061,OCR,Ambrosius Seibaeus,NaN,Funktionsausübung,NaN,NaN,1607 # 1609 # 1612 # 1614 # 1617 # 1619 # 1621 # 1610 # 1622 # 1642,1607 # 1609 # 1612 # 1614 # 1617 # 1619 # 1621 # 1610 # 1622 # 1642,NaN,NaN,Assessor,Mainz,"Universität Mainz, Theologische Fakultät",NaN,NaN,"1607 als Professor der Theologie in Mainz genannt, 1609, 1612, 1614, 1617, 1619 und 1621 als Assessor der Theologischen Fakultät, 1610, 1622 und 1642 als Rektor der Universität in Mainz erwähnt, auch als Universitäskanzler",NaN,NaN," Praetorius, Professoren, S.94; 
 Nom. rev., S. 3; 
 Aula hon., S.3 f.; 
 Severus PM, S. 9; 
 Heim, S.25; 
 Reg. Univ. Mog., S.5 ff.; 
 Verzeichnis theol. Fak., S.8; 
 Hansel, Anh. S.156; 
 Dürr, S.51 und 54; 
 August Korf, Oberursel, Oberursel 1907, S.103 f.) 
"
548,2061,OCR,Ambrosius Seibaeus,NaN,Funktionsausübung,NaN,NaN,1607 # 1609 # 1612 # 1614 # 1617 # 1619 # 1621 # 1610 # 1622 # 1642,1607 # 1609 # 1612 # 1614 # 1617 # 1619 # 1621 # 1610 # 1622 # 1642,NaN,NaN,Professor,Mainz,"Universität Mainz, Theologische Fakultät",NaN,NaN,"1607 als Professor der Theologie in Mainz genannt, 1609, 1612, 1614, 1617, 1619 und 1621 als Assessor der Theologischen Fakultät, 1610, 1622 und 1642 als Rektor der Universität in Mainz erwähnt, auch als Universitäskanzler",NaN,NaN," Praetorius, Professoren, S.94; 
 Nom. rev., S. 3; 
 Aula hon., S.3 f.; 
 Severus PM, S. 9; 
 Heim, S.25; 
 Reg. Univ. Mog., S.5 ff.; 
 Verzeichnis theol. Fak., S.8; 
 Hansel, Anh. S.156; 
 Dürr, S.51 und 54; 
 August Korf, Oberursel, Oberursel 1907, S.103 f.) 
"
549,2061,OCR,Ambrosius Seibaeus,NaN,Funktionsausübung,NaN,NaN,1607 # 1609 # 1612 # 1614 # 1617 # 1619 # 1621 # 1610 # 1622 # 1642,1607 # 1609 # 1612 # 1614 # 1617 # 1619 # 1621 # 1610 # 1622 # 1642,NaN,NaN,Rektor,Mainz,"Universität Mainz, Theologische Fakultät",NaN,NaN,"1607 als Professor der Theologie in Mainz genannt, 1609, 1612, 1614, 1617, 1619 und 1621 als Assessor der Theologischen Fakultät, 1610, 1622 und 1642 als Rektor der Universität in Mainz erwähnt, auch als Universitäskanzler",NaN,NaN," Praetorius, Professoren, S.94; 
 Nom. rev., S. 3; 
 Aula hon., S.3 f.; 
 Severus PM, S. 9; 
 Heim, S.25; 
 Reg. Univ. Mog., S.5 ff.; 
 Verzeichnis theol. Fak., S.8; 
 Hansel, Anh. S.156; 
 Dürr, S.51 und 54; 
 August Korf, Oberursel, Oberursel 1907, S.103 f.) 
"
551,2058,OCR,Ambrosius Seibaeus,NaN,Funktionsausübung,NaN,NaN,1601 # 1604,1601 # 1604,NaN,NaN,Pfarrer,Mainz,Dom Mainz,NaN,NaN,"1601 war er Dompfarrer in Mainz, 1604 Lizentiat der Theologie",NaN,NaN," Praetorius, Professoren, S.94; 
 Nom. rev., S. 3; 
 Aula hon., S.3 f.; 
 Severus PM, S. 9; 
 Heim, S.25; 
 Reg. Univ. Mog., S.5 ff.; 
 Verzeichnis theol. Fak., S.8; 
 Hansel, Anh. S.156; 
 Dürr, S.51 und 54; 
 August Korf, Oberursel, Oberursel 1907, S.103 f.) 
"
589,5581,OCR,Andreas Dieze,NaN,Funktionsausübung,NaN,NaN,1764 # 1770 # 1773,1764 # 1770 # 1773,NaN,NaN,Professor,Göttingen,NaN,NaN,NaN,"seit 1764 ao. Professor der Philologie in Göttingen, ab 1770 o.Professor, 1773 Professor für Literaturwissenschaft",NaN,NaN," Praetorius, Professoren, S.139; 
 De Bibliotheca Moguntina, Mainz 1963, S.20; 
 Wilhelm Ebel, Catalogus Professorum Göttingensium 1734-1962, Göttingen 1962, Ph.1,35 und 3, 26; 
 Meusel I, Bd.2, S.358 f. hier: + 14.9. 1785; 
 Prot, theol. Fak.1785, Bl.94 a hier: + 18.11.1785) 
"
622,6203,OCR,Andreas Joseph Hofmann,NaN,Funktionsausübung,1798,1803,1793 # 1797,1793 # 1797,NaN,NaN,Präsident,"Mainz, Rheingau, Frankreich, Par, Winkel, Paris",NaN,NaN,NaN,"als Präsident des rhein.deutschen Nationalkonvents übernahm er 1793 die Regierung in Mainz, konnte bei der Kapitulation der Franzosen nach Frankreich entkommen, lebte danach bis 1797 in Paris im Exil, war von 1798-1803 General-Einnehmer beim franz. Departement Donnersberg, wurde dort wegen Unterschlagungen abgesetzt und lebte danach als Privatmann auf seinem Gut in Winkel im Rheingau",NaN,NaN," Praetorius, Professoren, S.139; 
 Prot. phil. Fak., S.97; 
 StAD VI,1/12,4 Fo.16; 
 VI,1/25,1 Fo.28r; 
 Scriba 2, S.334 f.; 
 Hermes, S.131; 
 R. Schmitt, S.107; 
 NDB 9, S.446; 
 ADB 12, S. 625 f.; 
 Karl Georg Bockenheimer, Die Mainzer Klubisten d. J. 1792 und 1793, Mainz 1896, S.61 ff.; 
 Hansen I, S.47 Nr. 18; 
 Helmut Mathy, Andreas Joseph Hofmann, 1752-1849, Professor d. Phil, in Mainz und Präsident des rheinisch-deutschen Nationalkonvents, in: Jahrbuch der Vereinigung ""Freunde der Universität Mainz"" 22, 1973, S.15-37) 
"
623,6203,OCR,Andreas Joseph Hofmann,NaN,Funktionsausübung,1798,1803,1793 # 1797,1793 # 1797,NaN,NaN,Privatmann,"Mainz, Rheingau, Frankreich, Par, Winkel, Paris",NaN,NaN,NaN,"als Präsident des rhein.deutschen Nationalkonvents übernahm er 1793 die Regierung in Mainz, konnte bei der Kapitulation der Franzosen nach Frankreich entkommen, lebte danach bis 1797 in Paris im Exil, war von 1798-1803 General-Einnehmer beim franz. Departement Donnersberg, wurde dort wegen Unterschlagungen abgesetzt und lebte danach als Privatmann auf seinem Gut in Winkel im Rheingau",NaN,NaN," Praetorius, Professoren, S.139; 
 Prot. phil. Fak., S.97; 
 StAD VI,1/12,4 Fo.16; 
 VI,1/25,1 Fo.28r; 
 Scriba 2, S.334 f.; 
 Hermes, S.131; 
 R. Schmitt, S.107; 
 NDB 9, S.446; 
 ADB 12, S. 625 f.; 
 Karl Georg Bockenheimer, Die Mainzer Klubisten d. J. 1792 und 1793, Mainz 1896, S.61 ff.; 
 Hansen I, S.47 Nr. 18; 
 Helmut Mathy, Andreas Joseph Hofmann, 1752-1849, Professor d. Phil, in Mainz und Präsident des rheinisch-deutschen Nationalkonvents, in: Jahrbuch der Vereinigung ""Freunde der Universität Mainz"" 22, 1973, S.15-37) 
"
624,6203,OCR,Andreas Joseph Hofmann,NaN,Funktionsausübung,1798,1803,1793 # 1797,1793 # 1797,NaN,NaN,Resignation,"Mainz, Rheingau, Frankreich, Par, Winkel, Paris",NaN,NaN,NaN,"als Präsident des rhein.deutschen Nationalkonvents übernahm er 1793 die Regierung in Mainz, konnte bei der Kapitulation der Franzosen nach Frankreich entkommen, lebte danach bis 1797 in Paris im Exil, war von 1798-1803 General-Einnehmer beim franz. Departement Donnersberg, wurde dort wegen Unterschlagungen abgesetzt und lebte danach als Privatmann auf seinem Gut in Winkel im Rheingau",NaN,NaN," Praetorius, Professoren, S.139; 
 Prot. phil. Fak., S.97; 
 StAD VI,1/12,4 Fo.16; 
 VI,1/25,1 Fo.28r; 
 Scriba 2, S.334 f.; 
 Hermes, S.131; 
 R. Schmitt, S.107; 
 NDB 9, S.446; 
 ADB 12, S. 625 f.; 
 Karl Georg Bockenheimer, Die Mainzer Klubisten d. J. 1792 und 1793, Mainz 1896, S.61 ff.; 
 Hansen I, S.47 Nr. 18; 
 Helmut Mathy, Andreas Joseph Hofmann, 1752-1849, Professor d. Phil, in Mainz und Präsident des rheinisch-deutschen Nationalkonvents, in: Jahrbuch der Vereinigung ""Freunde der Universität Mainz"" 22, 1973, S.15-37) 
"
675,1473,OCR,Andreas Ludwig,NaN,Promotion,NaN,NaN,1679 # 1685,1679 # 1685,NaN,"Dr., theol.",Assessor,Mainz,"Universität Mainz, Theologische Fakultät",NaN,NaN,1679 wurde er zum Dr. theol. promoviert und war Assessor der Theologischen Fakultät in Mainz 1685 und 1687,NaN,NaN," Verzeichnis theol. Fak., S.10; 
 Reg. Univ. Mog., S,35 f.; 
 Hansel, Anh. S.119; 
 Severus PM, S.67 hier: + 3.12.1689) 
"
676,1473,OCR,Andreas Ludwig,NaN,Promotion,NaN,NaN,1679 # 1685,1679 # 1685,NaN,"Dr., theol.",Promovend,Mainz,"Universität Mainz, Theologische Fakultät",NaN,NaN,1679 wurde er zum Dr. theol. promoviert und war Assessor der Theologischen Fakultät in Mainz 1685 und 1687,NaN,NaN," Verzeichnis theol. Fak., S.10; 
 Reg. Univ. Mog., S,35 f.; 
 Hansel, Anh. S.119; 
 Severus PM, S.67 hier: + 3.12.1689) 
"
687,1905,OCR,Andreas Rüdel,NaN,Funktionsausübung,1753 # 1756,1756 # 1758,NaN,NaN,NaN,NaN,Professor,"Fulda, Würzburg",NaN,NaN,NaN,von 1753-1756 war er Professor der Theologie in Fulda und von 1756-1758 in Würzburg,NaN,NaN," Cat. Jes.1726, S.77 Nr.24; 
 Brück, Theol. Fak., S.3 u. 115; 
 Matr. Heidelberg 80, 159 Anm.4, S.455, 544, 564 Anm.2; 
 Weber, S.271, 690; 
 De Back.-Som. VII, Sp.308/11; 
 Uhlenbrock, S.210-214) 
"
688,1905,OCR,Andreas Rüdel,NaN,Funktionsausübung,1753 # 1756,1756 # 1758,NaN,NaN,NaN,NaN,Professor,"Fulda, Würzburg",NaN,NaN,NaN,von 1753-1756 war er Professor der Theologie in Fulda und von 1756-1758 in Würzburg,NaN,NaN," Cat. Jes.1726, S.77 Nr.24; 
 Brück, Theol. Fak., S.3 u. 115; 
 Matr. Heidelberg 80, 159 Anm.4, S.455, 544, 564 Anm.2; 
 Weber, S.271, 690; 
 De Back.-Som. VII, Sp.308/11; 
 Uhlenbrock, S.210-214) 
"
707,3428,OCR,Andreas von Joss,Jossen,Promotion,NaN,NaN,1607 # 1607 # 1617 # 1618,1607 # 1607 # 1617 # 1618,NaN,Dr.,Assessor,Mainz,Universität Mainz],NaN,NaN,"1607 wurde er zum Dr. jur. utriusque promoviert und war Assessor der Juristischen Fakultät in Mainz 1607, 1617, 1618, 1630",NaN,NaN," Praetorius, Professoren, S.98; 
 Nom. rev., S.3; 
 Reg. Univ. Mog., S.5, 8, 9, 14; 
 Pick, Reichsstaatsrecht, S.42) 
"
708,3428,OCR,Andreas von Joss,Jossen,Promotion,NaN,NaN,1607 # 1607 # 1617 # 1618,1607 # 1607 # 1617 # 1618,NaN,Dr.,"Promovend, Assessor",Mainz,"Universität Mainz, Juristische Fakultät",NaN,NaN,"1607 wurde er zum Dr. jur. utriusque promoviert und war Assessor der Juristischen Fakultät in Mainz 1607, 1617, 1618, 1630",NaN,NaN," Praetorius, Professoren, S.98; 
 Nom. rev., S.3; 
 Reg. Univ. Mog., S.5, 8, 9, 14; 
 Pick, Reichsstaatsrecht, S.42) 
"
736,7052,OCR,Andreas Wigand,Wigandt,Funktionsausübung,NaN,NaN,1646-01-09 # 1648,1646-01-09 # 1648,NaN,NaN,Mitglied,NaN,Senat,NaN,NaN,am 9.1.1646 nahm er an der Senatssitzung teil und war auch 1648 Mitglied des Senats,NaN,NaN," Cat. Jes.1658, S.19 Nr.4; 
 Krafft, Jesuiten, S.349; 
 Senatsprot.I, B1.79v, 84r; 
 Duhr 3, S.262 f.) 
"
737,7051,OCR,Andreas Wigand,Wigandt,Funktionsausübung,1645,1646,1643 # 1644 # 1645,1643 # 1644 # 1645,NaN,NaN,Dekan,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"in Mainz lehrte er an der Artistenfakultät 1643 Logik, 1644 Physik und Mathematik, 1645 Metaphysik und Ethik und war 1645-1646, Dekan der Fakultät",NaN,NaN," Cat. Jes.1658, S.19 Nr.4; 
 Krafft, Jesuiten, S.349; 
 Senatsprot.I, B1.79v, 84r; 
 Duhr 3, S.262 f.) 
"
738,7051,OCR,Andreas Wigand,Wigandt,Funktionsausübung,1645,1646,1643 # 1644 # 1645,1643 # 1644 # 1645,NaN,NaN,Lehrer,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"in Mainz lehrte er an der Artistenfakultät 1643 Logik, 1644 Physik und Mathematik, 1645 Metaphysik und Ethik und war 1645-1646, Dekan der Fakultät",NaN,NaN," Cat. Jes.1658, S.19 Nr.4; 
 Krafft, Jesuiten, S.349; 
 Senatsprot.I, B1.79v, 84r; 
 Duhr 3, S.262 f.) 
"
742,3464,OCR,Anselm Franz d.J. Lieb,NaN,Amtsantritt,NaN,NaN,1757 # 1759,1757 # 1759,NaN,NaN,Reisender,"Mainz, Regensburg, Wetzlar, Wien",NaN,NaN,NaN,"1757 ging er nach Wetzlar, dann nach Wien und Regensburg und kam 1759 nach Mainz zurück",NaN,NaN," Praetorius, Professoren, S.100; 
 Waldmann, S.57 f.; 
 Prot. jur. Fac., B1.85r, 86v; 
 RR I 141r; 
 Hofkal.1786, S.113; 
 1797, S.95; 
 Schmidt-Scharff, S.304) 
"
743,3464,OCR,Anselm Franz d.J. Lieb,NaN,Amtsantritt,NaN,NaN,NaN,NaN,1757 # 1759,NaN,Reisender,"Mainz, Regensburg, Wetzlar, Wien",NaN,NaN,NaN,"1757 ging er nach Wetzlar, dann nach Wien und Regensburg und kam 1759 nach Mainz zurück",NaN,NaN," Praetorius, Professoren, S.100; 
 Waldmann, S.57 f.; 
 Prot. jur. Fac., B1.85r, 86v; 
 RR I 141r; 
 Hofkal.1786, S.113; 
 1797, S.95; 
 Schmidt-Scharff, S.304) 
"
